Comment


Housekeeping
temperature low range;temperature high range;voltage;current
16-11-22;11:16:46
22.9;;23.1;;61.19;;12.10
23.4;;23.9;;60.82;;8.35
22.9;;23.3;;60.72;;7.74
22.9;;23.2;;61.19;;8.95

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;530.32;063.05;211.068
001;610.78;054.20;217.424
002;533.25;061.29;235.866
003;612.42;057.57;237.187
004;538.78;058.45;239.269
005;608.32;057.76;242.832
006;532.25;055.86;236.894
007;598.49;055.04;235.307
008;529.48;059.78;250.056
009;593.57;058.37;257.701
010;521.14;061.50;257.560
011;609.04;059.19;263.338
012;530.34;060.00;263.347
013;609.80;056.97;255.183
014;531.86;057.57;253.516
015;611.80;058.65;257.246
016;539.03;056.86;247.432
017;604.85;057.41;245.994
018;540.32;059.89;251.732
019;610.55;053.37;238.447
020;532.03;059.98;259.184
021;607.13;054.72;244.432
022;532.72;061.76;263.863
023;601.51;058.20;255.426
024;537.62;062.00;266.819
025;593.68;058.37;256.636
026;523.64;056.59;248.890
027;598.58;058.09;265.424
028;532.88;062.01;267.349
029;592.28;060.25;272.337
030;532.70;060.23;261.529
031;597.71;057.96;261.594
032;536.26;058.69;256.855
033;603.26;061.93;273.485
034;536.44;059.01;262.786
035;596.94;059.31;265.876
036;531.54;059.19;258.416
037;597.59;057.87;254.825
038;542.27;062.31;263.486
039;602.12;058.18;253.479
040;534.86;060.86;258.533
041;597.50;058.65;255.741
042;529.88;061.07;259.297
043;602.05;056.04;249.113
044;543.73;062.31;257.031
045;596.40;059.04;254.682
046;531.86;059.84;250.074
047;605.54;059.03;255.141
048;537.65;063.30;266.028
049;597.96;059.40;261.379
050;532.17;060.25;258.123
051;602.04;055.64;241.078
052;543.79;056.90;236.005
053;599.62;057.04;248.608
054;544.63;060.04;258.531
055;610.02;060.51;271.836
056;533.29;060.14;258.824
057;610.99;059.86;249.209
058;531.79;059.10;249.295
059;603.30;058.41;242.116
060;546.95;061.66;247.444
061;593.09;061.86;244.053
