Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-02-10;12:25:58
22.7;;23.0;;61.17;;12.22
23.3;;23.8;;60.80;;8.11
22.8;;23.2;;60.72;;7.87
22.8;;23.1;;61.21;;9.20

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;531.49;063.02;224.315
001;611.55;054.42;193.990
002;535.03;061.40;213.573
003;611.81;057.00;220.239
004;539.25;059.03;221.069
005;609.02;057.55;220.967
006;533.24;056.00;212.588
007;599.67;055.15;208.994
008;529.39;060.46;222.575
009;594.43;058.37;227.331
010;522.23;060.25;228.556
011;608.91;060.04;231.984
012;531.38;060.28;228.968
013;609.70;056.92;214.726
014;533.22;057.36;209.463
015;613.10;058.90;212.973
016;540.27;056.78;210.344
017;605.35;056.66;210.723
018;541.54;060.23;213.203
019;611.80;053.22;202.272
020;533.29;060.07;220.816
021;607.95;054.59;215.640
022;534.95;061.30;225.501
023;602.38;058.00;213.245
024;538.96;061.55;215.725
025;593.75;057.91;207.657
026;524.36;056.58;198.793
027;600.42;057.89;203.213
028;533.55;061.10;207.698
029;592.46;060.33;210.398
030;532.77;060.13;204.374
031;598.58;058.12;201.726
032;536.79;058.20;196.655
033;604.75;059.85;208.158
034;536.54;058.86;197.201
035;597.22;058.91;208.283
036;532.31;058.54;204.993
037;598.98;057.88;202.689
038;543.22;062.25;209.578
039;602.20;057.42;205.200
040;536.07;061.10;221.094
041;596.63;059.09;227.562
042;530.91;061.28;227.282
043;602.72;056.17;216.338
044;544.98;062.05;226.215
045;597.09;058.87;222.221
046;532.58;060.01;222.061
047;606.14;059.07;224.595
048;539.56;063.12;232.277
049;598.67;059.81;227.032
050;533.52;060.06;224.149
051;603.47;054.98;208.713
052;544.81;056.76;205.761
053;600.29;057.79;213.279
054;545.49;060.45;220.482
055;610.33;060.81;227.175
056;533.31;060.69;218.137
057;611.57;058.91;220.963
058;533.00;058.92;218.438
059;603.85;057.97;202.882
060;547.54;060.45;188.899
061;592.91;061.14;186.056
062;539.81;062.45;174.507
063;593.07;057.03;169.229
064;638.57;061.15;164.147
065;561.68;058.16;164.735
066;638.34;061.15;166.778
