Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-02-13;12:14:23
22.3;;22.6;;61.19;;12.10
22.9;;23.4;;60.80;;8.35
22.4;;22.8;;60.72;;8.11
22.4;;22.7;;61.19;;8.71

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;533.24;062.93;143.566
001;613.14;054.29;131.980
002;536.23;061.36;141.026
003;614.46;057.93;141.255
004;541.86;058.91;143.246
005;610.60;057.98;147.360
006;534.96;056.01;145.717
007;601.45;055.31;149.844
008;532.25;060.18;154.598
009;595.86;059.36;156.428
010;524.25;061.17;157.724
011;610.09;060.35;163.814
012;533.36;060.39;166.746
013;611.73;056.73;154.874
014;535.51;057.01;155.512
015;615.49;059.74;154.725
016;542.58;056.37;151.403
017;607.77;057.79;153.109
018;543.77;061.06;156.140
019;613.42;053.99;148.990
020;535.78;061.09;159.562
021;610.00;055.10;156.569
022;536.96;061.50;160.998
023;604.33;058.41;154.590
024;540.82;062.11;161.684
025;595.65;059.51;158.310
026;526.68;056.83;153.812
027;602.12;058.18;157.815
028;536.04;062.10;162.883
029;594.61;060.54;167.210
030;535.46;060.60;161.667
031;600.44;058.19;167.831
032;539.01;058.65;164.745
033;607.06;061.17;172.028
034;539.16;059.92;162.296
035;599.41;060.07;173.010
036;533.99;059.14;176.734
037;601.68;057.86;171.575
038;545.86;061.97;182.027
039;605.17;058.02;173.582
040;538.34;061.30;178.456
041;599.40;059.86;176.500
042;533.47;061.21;177.267
043;604.84;055.70;169.260
044;546.37;062.03;174.325
045;599.22;060.01;172.705
046;534.56;060.46;176.036
047;608.08;059.39;177.497
048;541.09;063.61;181.395
049;600.52;060.37;178.137
050;535.58;060.27;182.399
051;605.59;055.78;171.298
052;546.90;056.89;170.202
053;602.29;057.96;172.005
054;546.96;060.37;177.871
055;612.02;061.01;181.991
056;536.13;060.20;175.497
057;613.71;059.87;172.037
058;534.84;059.98;172.671
059;605.79;059.48;168.380
060;550.33;061.22;170.357
061;595.28;062.38;171.864
062;541.97;062.42;168.869
063;594.86;057.87;155.726
064;639.74;062.12;152.093
065;562.59;059.16;151.091
066;639.24;061.26;159.734
067;552.37;062.08;161.596
068;635.64;063.73;167.649
069;555.94;063.25;167.032
070;633.40;061.29;166.014
071;555.70;062.37;168.304
072;640.84;059.64;169.302
073;552.87;061.17;166.956
074;630.33;062.46;173.791
075;568.96;063.42;171.045
076;638.67;061.62;171.537
077;557.07;063.25;169.628
078;631.96;060.32;173.580
079;555.44;063.62;178.891
080;634.03;064.16;180.872
081;566.59;063.88;172.353
082;628.09;059.76;167.789
083;563.88;063.76;172.258
084;636.10;065.39;176.910
085;561.32;061.94;162.769
086;629.98;059.75;166.310
087;565.27;060.92;161.632
088;649.64;060.13;161.809
089;560.57;064.22;171.767
090;626.63;061.23;170.205
091;553.11;061.84;166.565
092;637.29;062.49;164.527
093;569.77;061.65;166.076
094;631.79;063.18;172.397
095;569.05;060.61;165.632
096;640.11;059.09;163.684
097;557.85;062.51;162.223
098;633.30;057.01;152.298
099;565.14;062.38;157.934
100;641.05;059.46;158.168
101;557.58;062.85;162.999
102;630.04;062.74;162.399
103;563.78;061.76;163.635
104;637.07;061.04;161.406
105;558.06;062.16;161.671
106;634.25;061.19;164.381
107;560.76;061.61;160.103
108;650.72;061.09;160.166
109;551.79;063.17;162.319
110;630.49;062.41;162.596
111;549.44;062.90;165.287
112;639.80;062.33;161.927
113;554.97;064.90;165.663
114;644.50;059.35;157.853
115;555.38;060.39;160.348
116;631.08;063.27;167.345
117;562.63;059.80;161.349
118;630.03;060.63;163.828
119;557.68;062.25;162.924
120;638.39;061.23;164.110
121;555.63;063.63;163.935
122;639.20;061.86;166.761
123;548.93;061.16;160.781
124;634.03;059.51;158.710
125;555.99;064.71;173.250
126;632.01;063.03;182.007
127;563.13;064.30;166.000
128;568.94;059.82;152.544
129;553.31;060.61;155.220
130;580.96;057.89;155.606
131;551.69;060.89;151.118
132;578.03;057.94;154.279
133;550.51;059.43;151.828
134;566.86;055.75;149.820
135;551.13;058.03;146.299
136;576.35;057.61;155.099
137;540.22;058.96;150.618
138;575.60;058.76;156.971
139;549.45;062.38;161.491
140;585.58;057.15;155.410
141;553.61;059.10;153.487
142;574.81;056.81;154.881
143;537.89;059.79;154.922
144;580.57;058.51;155.992
145;554.56;057.12;147.759
146;578.83;059.10;155.221
147;547.57;057.61;152.527
148;581.35;059.25;159.464
149;550.29;060.07;157.944
150;577.50;060.26;162.056
151;546.78;057.65;151.035
152;577.02;057.41;159.986
153;553.84;059.28;153.370
154;578.77;055.92;156.067
155;551.24;059.49;160.234
156;573.01;057.60;161.444
157;549.47;061.30;163.572
158;576.03;058.54;163.412
159;546.93;058.23;160.726
160;592.13;057.84;166.035
161;551.88;060.68;169.105
162;570.74;055.29;165.216
163;552.75;062.88;173.918
164;575.78;057.40;173.374
165;542.52;058.04;174.059
166;578.56;054.90;169.843
167;546.05;060.63;176.545
168;578.45;058.04;175.296
169;546.36;060.33;184.366
170;586.53;054.33;173.123
171;537.19;058.87;176.360
172;581.93;055.81;175.177
173;547.22;058.52;168.316
174;575.29;055.37;170.722
175;549.89;058.60;170.104
176;572.51;056.91;175.436
177;549.44;058.15;179.841
178;577.56;058.14;181.630
179;547.91;059.73;180.151
