Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-02-10;12:19:06
22.7;;23.0;;61.19;;12.10
23.3;;23.7;;60.78;;8.23
22.7;;23.2;;60.70;;7.74
22.7;;23.0;;61.19;;8.95

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;531.33;063.18;230.799
001;611.43;054.58;198.934
002;534.09;060.90;222.030
003;611.86;057.22;224.075
004;539.29;058.80;226.004
005;608.27;057.82;225.623
006;532.78;056.12;216.508
007;599.91;054.86;213.650
008;529.62;060.03;227.057
009;593.39;059.44;230.852
010;522.11;060.70;229.619
011;608.83;059.70;237.805
012;530.81;060.83;233.039
013;609.38;057.02;216.971
014;532.87;057.35;213.186
015;612.90;058.96;216.355
016;539.84;057.84;208.757
017;605.20;057.04;213.493
018;541.15;059.97;219.033
019;611.17;053.93;203.143
020;533.08;060.12;225.050
021;607.92;054.02;220.454
022;533.75;060.96;232.129
023;602.21;057.92;217.205
024;538.51;061.33;221.992
025;593.05;058.24;211.995
026;523.84;057.02;203.379
027;599.60;056.84;212.816
028;533.60;061.50;210.764
029;592.05;059.70;218.435
030;532.79;059.34;213.698
031;597.83;058.02;207.829
032;535.99;058.90;200.150
033;604.42;060.42;213.464
034;536.42;058.93;201.498
035;597.04;059.26;212.098
036;531.81;058.69;210.748
037;598.48;057.45;210.541
038;542.85;062.35;215.119
039;602.62;057.13;210.378
040;536.14;061.07;225.617
041;596.85;058.81;235.460
042;530.71;061.04;234.971
043;602.13;056.46;222.499
044;543.92;061.44;232.794
045;596.76;058.87;228.256
046;532.11;060.09;227.440
047;605.72;058.86;233.678
048;538.99;063.30;235.700
049;598.02;059.98;232.574
050;532.82;060.03;230.926
051;603.47;055.76;212.346
052;544.69;056.72;212.085
053;599.91;058.05;218.545
054;544.71;060.52;228.716
055;609.66;060.59;235.426
056;533.39;060.30;227.785
057;610.91;059.79;223.917
058;532.97;058.47;228.873
059;603.42;058.26;207.811
060;547.08;061.00;196.174
061;592.77;061.64;192.093
062;539.81;061.89;183.079
063;592.55;056.84;174.697
064;638.25;061.32;171.939
065;561.25;058.00;172.011
066;637.96;061.11;174.010
067;551.35;061.38;176.930
068;634.81;062.50;183.294
069;554.85;062.05;179.353
070;631.89;060.01;180.164
071;554.46;061.27;192.417
072;639.44;059.27;202.761
073;552.29;060.25;205.551
074;629.49;061.85;218.620
075;567.24;062.87;218.881
076;637.51;061.18;216.194
077;556.24;062.09;214.615
078;631.19;060.85;212.561
079;554.45;063.30;218.981
080;632.62;063.67;218.769
081;564.85;063.01;212.048
082;627.39;059.25;202.506
083;563.20;063.48;206.536
084;634.48;065.23;216.991
085;559.89;061.10;209.950
086;628.34;059.31;206.850
087;564.39;060.27;205.377
088;647.65;060.18;210.471
089;559.03;063.74;222.854
090;625.34;061.19;212.686
091;552.15;061.22;191.955
092;636.09;061.46;184.028
093;568.53;061.24;181.177
094;630.34;063.12;188.636
095;567.62;060.15;184.502
096;638.82;058.88;178.707
097;556.72;061.27;185.761
098;631.71;056.81;173.047
099;563.09;062.25;176.098
100;639.34;059.23;177.528
101;556.23;062.27;182.984
102;628.87;062.35;180.025
103;562.23;061.40;183.327
104;635.09;060.97;186.752
105;556.88;061.55;184.168
106;632.73;060.77;185.426
107;559.00;060.74;185.640
108;649.34;060.82;183.149
109;550.16;062.25;183.358
110;628.90;062.33;177.140
111;547.85;062.17;180.268
112;639.06;061.45;177.663
113;552.98;063.98;183.613
114;643.13;059.93;171.214
115;553.58;061.05;170.218
