Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-01-13;10:36:03
22.4;;22.7;;61.19;;12.46
22.9;;23.4;;60.80;;8.35
22.5;;22.9;;60.70;;7.74
22.5;;22.8;;61.21;;8.95

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;528.75;063.78;274.889
001;609.35;055.28;238.884
002;532.02;061.56;261.147
003;610.87;057.89;262.477
004;536.96;058.47;264.840
005;606.70;057.81;259.025
006;530.18;056.16;250.663
007;596.75;054.96;250.968
008;526.79;060.26;266.353
009;591.71;059.24;270.193
010;519.02;061.20;275.937
011;606.16;059.89;277.773
012;528.12;060.40;267.480
013;607.56;056.84;259.164
014;530.35;057.75;255.485
015;611.16;059.18;261.043
016;536.94;057.06;253.046
017;603.47;057.39;258.484
018;539.12;060.73;263.004
019;609.19;053.94;238.877
020;530.06;060.15;251.017
021;605.63;055.42;255.034
022;531.28;061.57;285.997
023;599.97;058.35;274.608
024;536.69;062.37;284.179
025;591.81;058.59;280.796
026;521.31;056.97;275.975
027;597.67;058.86;283.678
028;530.93;062.26;293.084
029;590.72;060.53;305.043
030;530.42;060.89;299.058
031;595.36;059.33;302.142
032;534.78;059.08;305.552
033;603.45;061.77;317.790
034;534.00;059.52;308.361
035;595.80;059.96;319.680
036;530.59;059.29;314.141
037;597.65;058.08;310.773
038;541.82;062.33;323.555
039;601.20;058.02;313.626
040;533.75;061.36;325.930
041;594.90;059.65;314.539
042;528.41;061.90;315.267
043;600.96;057.20;302.611
044;543.00;061.57;327.023
045;595.38;059.83;317.162
046;530.33;060.57;320.341
047;604.36;060.17;324.106
048;536.98;064.24;340.941
049;597.39;060.95;336.553
050;531.73;061.08;338.041
051;601.75;055.56;315.526
052;542.55;057.35;313.649
053;599.46;058.44;313.707
054;543.57;061.12;329.696
055;608.18;061.65;341.784
056;531.66;060.96;305.345
057;609.07;060.11;312.672
058;530.53;060.34;311.141
059;602.40;058.53;311.304
060;547.15;061.85;301.423
061;590.21;062.34;300.445
062;538.69;061.81;286.145
063;590.78;057.93;256.010
064;634.99;062.44;267.177
065;560.54;059.47;271.762
066;635.01;061.55;286.379
067;549.02;061.92;291.119
068;632.25;063.72;300.697
069;553.25;062.63;298.050
070;628.89;060.98;297.230
071;552.98;062.11;290.922
072;636.23;059.98;274.811
073;550.41;061.22;273.368
074;625.75;062.51;291.239
075;565.33;063.50;293.870
076;633.58;062.24;298.788
077;554.68;063.15;293.912
078;627.85;061.29;297.597
079;552.01;064.54;302.763
080;630.32;064.42;311.717
081;563.05;063.55;302.760
082;624.36;059.99;287.851
083;560.01;063.85;295.506
084;631.64;065.53;300.528
085;557.51;062.27;281.263
086;625.94;059.74;279.299
087;562.24;061.00;276.649
088;645.34;059.98;280.882
089;557.38;064.74;294.388
090;623.32;061.24;287.207
091;550.15;062.28;282.177
092;633.30;062.26;277.280
093;566.96;061.90;269.217
094;628.61;064.14;276.225
095;565.83;061.07;267.383
096;636.45;059.58;257.103
097;554.59;061.98;259.135
098;628.74;057.44;237.581
099;560.47;063.37;247.590
100;635.62;059.72;240.959
101;553.53;063.18;251.149
102;624.79;062.65;246.148
103;559.19;061.94;246.425
104;632.11;062.25;236.862
105;554.66;062.48;234.045
106;629.20;062.08;234.815
107;556.81;060.95;235.127
108;645.88;061.17;239.158
109;548.02;063.36;240.848
110;625.62;062.71;239.581
111;544.90;063.14;239.390
112;635.71;062.10;236.835
113;549.76;064.99;240.734
114;640.39;060.12;230.113
115;551.00;061.35;225.823
116;627.21;062.57;235.431
117;557.56;060.17;222.101
118;625.38;061.11;223.591
119;553.71;062.02;227.567
120;633.69;062.24;233.582
121;551.42;062.95;236.385
122;635.32;062.23;233.574
123;544.96;061.04;226.323
124;630.53;059.59;225.290
125;552.30;064.31;232.567
126;627.49;064.38;228.765
127;558.12;065.16;227.096
128;566.13;059.22;208.430
129;551.65;060.17;218.597
130;578.11;058.21;214.103
131;551.17;060.20;209.376
132;575.63;056.96;218.106
133;547.94;059.36;217.486
134;563.79;056.17;211.291
135;548.48;057.32;211.937
136;573.14;058.26;220.501
137;537.73;058.58;213.182
138;572.64;058.09;224.779
139;547.62;063.10;227.130
140;582.68;057.63;216.803
141;551.70;059.07;214.323
142;571.99;056.64;219.060
143;535.69;059.95;220.752
144;577.39;058.62;223.540
145;552.34;057.51;209.187
146;576.06;059.10;219.593
147;545.18;058.08;215.542
148;578.00;058.74;227.068
149;547.32;060.45;224.392
150;575.10;060.14;229.623
151;543.78;057.47;211.340
152;573.50;057.15;224.119
153;552.17;058.76;221.667
154;576.19;054.86;223.930
155;549.20;059.76;225.766
156;569.81;057.67;227.499
157;546.94;061.77;239.088
158;573.19;058.13;236.701
159;544.33;058.55;229.404
160;589.23;057.12;240.996
161;549.32;061.17;241.215
