Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-02-13;13:29:36
22.9;;23.1;;61.21;;12.10
23.4;;23.9;;60.80;;8.59
22.9;;23.4;;60.70;;7.87
22.9;;23.2;;61.19;;9.20

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;530.93;062.74;187.149
001;611.94;054.03;170.695
002;534.37;060.74;182.374
003;613.19;057.04;185.251
004;539.82;058.62;187.125
005;609.37;058.10;191.135
006;533.07;055.69;190.652
007;599.97;054.79;199.095
008;530.47;059.45;203.549
009;594.65;058.63;205.129
010;522.32;061.10;205.252
011;609.58;059.70;215.212
012;531.76;060.16;217.454
013;610.15;056.57;202.632
014;533.02;057.13;202.915
015;613.71;059.13;205.071
016;540.36;056.87;197.638
017;605.94;057.07;204.111
018;541.33;059.78;209.521
019;612.29;053.36;195.784
020;533.49;059.84;212.582
021;608.44;054.86;204.307
022;534.70;061.14;212.421
023;602.93;057.21;206.551
024;539.06;061.46;213.292
025;593.90;057.35;212.457
026;524.51;056.25;200.000
027;600.58;057.80;205.992
028;534.37;060.94;215.141
029;593.09;060.62;219.852
030;533.28;060.07;213.791
031;598.61;058.15;217.663
032;537.43;058.03;213.894
033;605.79;060.99;224.414
034;536.67;058.74;215.835
035;597.85;059.06;227.232
036;532.34;059.06;227.416
037;600.13;057.01;227.039
038;542.85;062.62;235.338
039;603.66;057.19;226.328
040;536.73;060.65;232.657
041;597.73;059.03;232.835
042;531.15;060.71;230.252
043;603.23;056.07;215.586
044;544.43;061.40;227.078
045;597.89;058.55;225.564
046;532.41;059.75;226.661
047;606.65;059.31;227.425
048;539.71;062.66;231.682
049;599.68;058.97;232.588
050;533.34;060.15;231.073
051;603.79;055.15;217.991
052;545.11;056.87;214.771
053;600.88;057.22;219.048
054;544.87;060.23;222.382
055;610.94;060.39;229.866
056;534.20;060.28;218.539
057;611.48;059.41;217.317
058;533.07;058.98;216.355
059;604.10;057.89;211.367
060;548.37;061.27;207.373
061;594.08;061.86;210.359
062;540.44;061.33;208.340
063;593.61;056.87;192.231
064;638.50;061.48;183.116
065;561.60;058.14;182.648
066;638.22;060.63;193.124
067;551.37;060.75;195.241
068;634.36;062.66;202.040
069;555.06;062.27;200.228
070;631.88;060.43;200.912
071;554.81;061.31;203.770
072;639.67;059.04;202.851
073;551.70;060.15;200.484
074;629.71;061.35;209.050
075;567.42;062.71;205.042
076;637.25;060.83;204.490
077;556.81;062.16;202.420
078;631.24;060.10;204.031
079;554.84;063.48;211.681
080;632.83;063.36;214.632
081;565.42;063.21;206.490
082;627.79;058.96;197.958
083;562.80;063.16;204.021
084;633.89;065.31;210.953
085;559.81;060.67;195.088
086;628.99;059.23;195.683
087;564.31;060.04;192.593
088;647.91;059.12;193.292
089;559.21;063.58;204.192
090;625.00;060.98;200.737
091;551.80;061.98;193.836
092;635.97;061.21;194.902
093;568.58;061.17;193.154
094;630.74;062.97;202.086
095;568.14;060.95;188.960
096;639.60;058.80;186.795
097;556.94;061.57;188.258
098;631.95;056.92;176.199
099;563.34;062.34;182.718
100;639.83;058.84;183.762
101;556.12;062.24;187.523
102;628.61;061.86;187.961
103;562.87;061.68;185.567
104;634.99;061.18;184.392
105;556.97;061.77;182.873
106;633.09;061.07;184.646
107;559.58;060.82;180.864
108;649.75;060.33;182.355
109;550.71;062.24;183.648
110;629.33;062.04;182.281
111;547.96;063.01;181.391
112;638.90;061.41;183.607
113;553.38;064.36;185.135
114;643.31;059.74;174.123
115;553.96;060.04;176.598
116;629.45;062.34;188.600
117;560.81;059.55;179.053
118;628.74;060.12;181.880
119;556.37;061.36;180.829
120;637.25;061.18;180.726
121;554.15;062.67;183.489
122;637.22;061.72;183.749
123;547.87;060.05;180.157
124;632.82;059.02;173.964
125;554.91;063.76;189.481
126;630.35;064.15;194.384
127;561.21;064.47;178.887
128;568.99;059.16;164.868
129;553.59;060.12;165.339
130;580.90;057.55;166.520
131;551.11;060.25;162.526
132;577.93;056.84;166.985
133;549.81;059.10;163.250
134;566.47;056.32;156.068
135;550.91;056.90;156.215
136;575.71;057.34;165.997
137;539.91;057.66;161.461
138;575.56;058.26;167.024
139;550.14;062.43;169.965
140;585.81;057.85;159.465
141;553.94;057.90;161.332
142;574.78;056.17;161.933
143;537.88;059.90;161.609
144;580.07;058.06;163.210
145;554.48;056.64;153.700
146;578.82;058.29;161.261
147;547.49;057.17;157.774
148;580.97;058.46;165.721
149;549.82;059.63;162.674
150;577.57;059.03;169.490
151;546.26;056.49;157.107
152;576.55;056.48;164.255
153;554.06;057.54;159.520
154;579.08;054.93;159.153
155;551.15;058.64;162.272
156;573.00;056.65;164.129
157;549.14;061.10;164.401
158;575.61;057.70;164.115
159;546.73;057.24;163.110
160;591.81;056.33;170.919
161;552.10;059.26;171.091
162;569.99;054.80;163.756
163;552.60;061.81;173.348
164;575.64;056.00;172.887
165;542.37;057.30;171.121
166;578.29;054.40;166.983
167;545.69;060.23;172.562
168;577.81;057.05;172.931
169;545.90;061.29;175.386
170;586.49;054.64;166.842
171;536.69;058.59;173.128
172;581.48;055.93;169.424
173;547.20;057.40;167.501
174;574.76;054.92;166.339
175;549.79;057.74;167.215
176;572.52;055.79;170.373
177;549.01;058.40;170.749
178;577.20;057.09;175.054
179;548.08;058.57;171.127
180;579.38;054.76;162.784
181;548.02;059.58;173.329
182;579.79;056.50;176.548
183;546.19;059.91;173.723
184;591.37;055.67;170.321
185;551.01;054.63;162.719
186;581.25;057.32;172.548
187;543.48;057.85;174.085
188;583.65;058.25;177.848
189;546.03;058.83;177.787
190;578.27;058.13;173.321
191;545.02;058.40;165.484
192;520.91;061.29;171.356
193;614.05;060.25;174.588
194;526.60;062.33;173.173
195;640.39;060.67;175.980
196;526.27;060.22;180.340
197;612.74;057.20;169.148
198;523.05;060.35;173.173
199;599.63;058.70;169.228
200;526.43;060.01;170.748
201;601.05;058.14;169.572
202;525.71;058.43;177.712
203;611.02;059.76;177.426
204;530.82;061.56;180.443
205;611.51;060.03;177.177
206;529.16;058.97;176.140
207;609.13;059.08;178.356
208;531.57;060.39;183.125
209;604.89;061.13;183.107
210;528.75;059.86;177.145
211;602.43;060.58;178.371
212;527.34;061.52;180.966
213;598.44;057.88;180.798
214;526.53;060.98;181.632
215;604.28;059.11;181.466
216;525.32;060.17;182.534
217;613.49;059.50;183.950
218;521.66;058.50;182.069
219;605.30;058.62;183.478
220;521.32;059.71;182.712
221;613.43;059.28;182.430
222;525.72;061.11;185.721
223;598.74;058.88;180.024
224;516.27;060.22;190.341
225;597.96;058.93;190.389
226;523.14;059.77;190.022
227;600.12;059.27;189.726
228;522.50;059.88;188.100
229;604.17;059.52;191.035
230;531.01;062.03;194.241
231;600.27;058.28;194.203
232;515.44;061.07;194.637
233;605.48;060.20;193.894
234;522.78;059.33;189.609
235;617.44;059.89;188.448
236;529.36;062.35;197.955
237;594.49;057.53;190.561
238;524.21;061.13;193.066
239;602.42;058.64;190.283
240;520.74;059.81;188.467
241;603.56;057.79;190.153
242;530.92;061.06;194.721
243;598.06;059.94;194.885
244;531.95;060.97;198.285
245;610.19;061.00;196.825
246;521.92;061.63;199.044
247;603.38;060.88;201.324
248;519.42;059.91;195.549
249;590.90;057.30;201.428
250;528.26;060.71;206.457
251;605.32;057.45;205.479
252;535.33;062.33;207.349
253;611.41;059.62;211.855
254;521.02;062.10;222.888
255;594.98;061.23;213.800
256;565.80;060.25;247.511
257;625.51;061.66;254.976
258;571.31;060.06;251.197
259;616.74;062.52;255.897
260;567.55;061.11;255.592
261;613.68;060.75;251.947
262;566.53;062.13;264.566
263;619.28;061.65;255.197
264;564.31;059.16;248.565
265;615.09;061.19;257.710
266;559.49;062.07;264.842
267;622.22;061.23;257.595
268;562.41;061.18;250.599
269;618.83;063.25;257.218
270;565.39;060.95;258.350
271;620.16;060.65;248.093
272;563.77;056.74;243.690
273;619.99;060.82;255.991
274;560.18;059.70;257.612
275;628.02;061.92;251.649
276;564.87;059.93;252.261
277;627.28;063.18;256.166
278;558.80;059.35;254.500
279;618.17;061.66;253.892
280;568.11;062.37;261.488
281;623.06;061.32;259.388
282;567.91;060.36;252.789
283;626.36;060.57;250.953
284;559.27;061.93;256.875
285;621.28;063.55;268.576
286;558.55;062.20;260.336
287;611.88;062.06;260.660
288;561.93;062.60;260.469
289;615.79;061.83;260.532
290;561.47;062.33;264.660
291;622.42;062.94;256.825
292;564.18;062.21;257.193
293;628.11;062.64;262.514
294;572.46;059.99;256.419
295;626.83;063.66;273.012
296;564.17;063.26;270.540
297;622.04;062.79;264.964
298;570.05;061.58;260.640
299;625.28;062.23;265.899
300;561.16;061.26;259.397
301;624.39;063.13;260.609
302;559.72;060.71;256.167
303;613.04;062.76;259.990
304;568.65;062.28;262.440
305;619.29;060.67;264.954
306;562.89;062.50;266.140
307;628.95;060.42;262.066
308;562.99;062.21;260.056
309;622.48;061.96;260.849
310;565.74;062.24;270.740
311;620.41;062.93;273.550
312;571.92;057.79;259.176
313;616.61;060.35;268.750
314;569.26;059.87;271.924
315;620.88;062.49;275.789
316;562.29;061.52;276.110
317;613.02;062.65;273.593
318;558.30;061.03;273.845
319;628.80;060.27;260.117
320;592.64;060.78;266.018
321;574.30;060.05;260.980
322;594.04;062.60;263.241
323;568.65;062.51;266.121
324;594.81;061.51;272.603
325;566.24;062.87;270.478
326;597.24;060.64;268.678
327;567.54;061.45;262.163
328;601.82;061.12;266.977
329;568.75;059.86;264.429
330;598.98;060.48;273.036
331;564.64;061.50;277.010
332;594.21;059.85;274.251
333;566.76;061.57;277.976
334;602.47;059.84;275.473
335;562.62;062.55;278.310
336;597.24;060.64;271.565
337;561.90;062.17;274.961
338;596.79;060.34;277.420
339;564.37;062.77;281.872
340;595.72;062.77;283.573
341;567.46;062.17;278.944
342;600.32;060.24;296.799
343;569.31;062.25;290.016
344;592.73;063.42;298.501
345;572.32;061.67;282.220
346;587.87;061.83;287.559
347;568.34;062.10;285.480
348;596.95;061.20;286.220
349;565.75;062.25;288.029
350;599.92;060.93;290.673
351;564.87;063.42;284.569
352;605.62;062.06;284.753
353;570.50;060.91;283.646
354;598.31;059.68;279.089
355;562.35;062.31;289.247
356;602.45;062.15;300.193
357;559.19;063.76;295.001
358;595.42;061.30;293.861
359;566.37;062.20;287.152
360;594.60;061.72;295.247
361;569.52;060.07;291.804
362;599.03;061.12;296.942
363;557.76;063.35;301.865
364;598.87;063.73;309.023
365;568.66;060.90;291.695
366;600.51;062.73;297.583
367;564.18;061.05;287.252
368;601.95;060.79;300.752
369;571.35;062.36;301.856
370;607.67;060.95;296.723
371;562.88;062.75;297.498
372;605.95;060.42;299.601
373;561.02;060.76;295.633
374;602.45;060.03;293.184
375;561.05;062.99;304.921
376;593.34;063.61;302.986
377;556.61;061.61;298.306
378;591.36;062.29;298.858
379;560.88;061.09;295.445
380;598.27;062.25;291.950
381;557.88;062.44;299.484
382;602.47;061.14;287.157
383;569.81;062.29;284.276
384;569.63;059.90;231.489
385;622.15;062.22;240.026
386;572.32;063.26;241.427
387;625.43;064.55;242.706
388;563.23;060.71;241.004
389;628.93;065.95;243.293
390;564.72;063.01;247.136
391;618.23;062.22;239.030
392;577.33;062.41;241.432
393;630.42;063.45;237.374
394;575.24;060.03;236.396
395;626.69;062.69;242.989
396;562.77;061.16;244.256
397;622.30;063.93;251.554
398;558.80;063.27;249.306
399;618.29;063.93;245.029
400;568.51;060.59;238.527
401;626.15;064.12;251.769
402;558.61;060.52;241.993
403;632.88;063.14;244.568
404;576.90;062.36;242.650
405;624.50;061.35;242.678
406;570.43;062.22;248.747
407;628.20;061.50;244.600
408;564.72;062.37;257.067
409;623.02;062.23;250.145
410;557.89;060.13;248.608
411;624.18;062.18;250.838
412;568.11;062.34;259.247
413;624.96;061.22;253.564
414;566.96;061.48;257.867
415;630.91;060.98;252.163
416;555.31;061.81;257.006
417;628.49;061.43;249.822
418;568.09;059.93;254.947
419;629.27;060.25;256.780
420;563.51;063.03;263.049
421;626.80;064.06;260.425
422;565.35;061.10;262.145
423;629.87;062.30;261.923
424;563.24;061.15;266.156
425;614.81;063.13;265.035
426;562.97;062.09;264.654
427;624.03;062.13;260.671
428;557.14;060.17;260.904
429;623.43;062.19;267.635
430;567.57;062.22;268.474
431;634.78;063.61;273.999
432;569.34;058.90;263.005
433;617.94;060.95;266.606
434;568.11;059.46;260.269
435;626.83;062.26;268.444
436;567.96;060.15;256.477
437;616.79;061.34;262.681
438;567.88;060.83;264.676
439;628.81;061.44;260.068
440;570.68;060.02;252.810
441;633.99;061.30;260.770
442;568.50;059.63;262.178
443;632.07;059.61;265.046
444;565.67;059.13;258.839
445;618.97;062.00;266.813
446;578.52;059.35;266.351
447;627.70;062.01;264.370
448;578.42;060.22;251.915
449;551.03;061.29;258.534
450;575.33;060.74;259.288
451;573.88;058.58;250.582
452;583.79;060.53;261.529
453;544.68;060.59;268.313
454;584.85;057.99;259.200
455;532.28;061.59;264.793
456;585.61;061.33;271.472
457;536.84;061.32;260.076
458;578.45;060.26;265.620
459;543.06;061.71;271.960
460;588.92;059.16;264.995
461;537.32;062.00;266.455
462;580.43;058.19;263.799
463;542.65;062.53;266.768
464;581.50;060.99;266.926
465;537.23;062.23;265.308
466;581.44;061.60;275.771
467;541.09;063.46;276.905
468;581.35;061.80;274.964
469;545.41;063.33;274.604
470;592.16;061.17;270.358
471;535.70;062.34;275.142
472;577.48;055.12;268.753
473;539.04;062.46;277.811
474;587.71;060.19;275.373
475;539.55;061.79;277.305
476;575.43;059.36;276.568
477;535.48;060.94;277.116
478;582.96;059.30;276.134
479;551.64;061.18;262.679
480;574.67;061.25;276.681
481;535.43;061.81;276.791
482;586.39;061.48;280.338
483;540.58;060.74;277.591
484;592.03;061.12;276.734
485;534.73;060.67;271.988
486;582.85;060.10;281.202
487;536.98;062.13;282.388
488;582.89;060.50;281.245
489;537.73;062.16;280.520
490;572.16;061.85;278.190
491;531.62;061.68;280.727
492;585.07;059.16;276.067
493;531.58;061.25;281.486
494;584.57;056.87;266.276
495;541.65;059.96;267.413
496;576.91;059.26;260.831
497;535.94;062.56;266.635
498;581.96;061.02;280.638
499;533.89;061.49;291.273
500;585.76;060.11;281.361
501;540.17;060.04;278.850
502;586.74;058.72;268.457
503;533.83;061.29;270.587
504;575.66;060.15;263.824
505;542.72;061.21;263.502
506;589.13;061.32;263.070
507;536.40;060.95;263.688
508;575.83;061.32;250.043
509;533.26;061.18;246.136
510;583.65;060.06;249.638
511;530.95;061.02;248.139
