Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-01-13;09:48:10
21.9;;22.2;;61.19;;12.22
22.5;;23.0;;60.80;;7.74
22.0;;22.4;;60.70;;7.99
22.0;;22.3;;61.19;;8.83

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;538.18;063.54;90.171
001;616.08;055.66;71.203
002;540.82;061.90;74.336
003;616.22;057.95;74.421
004;545.58;058.66;75.163
005;613.55;058.07;73.401
006;539.35;056.77;69.754
007;604.44;055.67;69.349
008;536.23;059.98;75.554
009;598.38;059.72;76.168
010;528.38;060.98;79.206
011;613.21;059.51;78.699
012;537.63;060.13;76.494
013;614.66;057.19;73.818
014;539.55;058.05;72.821
015;617.80;059.05;75.470
016;546.54;057.16;71.456
017;610.63;056.86;75.844
018;547.93;059.71;76.842
019;616.37;054.18;67.949
020;539.88;060.49;70.526
021;612.93;055.90;72.873
022;540.82;061.42;82.746
023;607.27;058.54;78.083
024;545.32;062.52;80.136
025;598.80;058.66;80.665
026;530.95;056.83;78.657
027;605.12;058.16;83.240
028;540.45;062.26;84.346
029;597.99;061.36;85.899
030;539.55;060.18;86.375
031;602.99;058.74;88.253
032;543.08;058.98;88.003
033;609.82;062.52;90.636
034;543.28;060.32;87.423
035;602.46;060.55;91.214
036;538.19;059.08;90.960
037;604.20;058.51;89.096
038;549.82;062.99;91.972
039;607.89;057.96;90.760
040;542.25;061.19;93.403
041;602.27;059.85;90.644
042;537.30;062.23;90.250
043;607.70;056.90;87.978
044;550.15;062.08;94.397
045;601.83;059.04;93.429
046;538.70;059.91;92.514
047;610.90;059.47;95.885
048;545.01;063.99;98.849
049;603.41;060.08;99.237
050;539.12;061.32;97.536
051;608.55;056.03;91.662
052;550.41;057.79;90.082
053;604.59;058.38;92.400
054;550.99;060.46;96.918
055;615.06;061.51;99.362
056;539.33;061.47;87.733
057;616.16;060.50;89.853
058;538.59;060.73;87.529
059;608.58;058.26;90.043
060;553.05;061.14;88.883
061;598.12;061.62;87.882
062;545.41;062.47;81.936
063;597.55;057.20;74.526
064;643.90;061.36;76.429
065;566.03;059.13;78.126
066;643.59;061.63;83.057
067;555.35;062.22;82.593
068;639.93;063.35;86.165
069;559.37;063.10;85.024
070;637.53;060.80;85.032
071;559.62;062.49;82.502
072;645.12;059.06;79.484
073;556.65;061.20;78.678
074;634.72;062.38;84.999
075;572.21;063.06;85.126
076;643.13;062.36;85.746
077;561.59;062.47;85.344
078;636.66;060.89;86.787
079;559.49;063.69;88.085
080;638.64;064.39;89.568
081;570.02;063.80;87.174
082;632.93;060.41;83.621
083;567.92;063.96;85.809
084;639.71;064.76;89.787
085;565.57;061.60;81.963
086;633.82;059.97;81.536
087;569.43;061.34;80.610
088;653.48;060.42;81.845
089;564.93;063.72;86.752
090;630.92;062.09;84.404
091;557.43;061.35;84.737
092;642.07;062.25;81.245
093;574.25;062.32;79.444
094;636.21;062.87;82.877
095;573.33;061.05;80.070
096;644.66;058.87;77.130
097;562.92;061.81;76.890
098;637.56;057.34;72.024
099;569.07;062.32;74.194
100;644.98;059.79;71.561
101;562.46;062.98;73.879
102;634.74;062.22;74.188
103;568.32;062.53;72.539
104;641.20;061.22;71.272
105;562.70;062.31;70.379
106;638.66;062.06;70.480
107;565.32;061.37;69.634
108;654.46;060.76;70.729
109;556.16;063.26;71.070
110;634.16;062.26;72.485
111;553.63;062.83;71.626
112;644.55;062.74;70.246
113;558.83;063.55;74.428
114;648.38;060.24;68.493
115;559.77;061.61;66.877
116;634.99;063.60;67.813
117;566.59;060.08;66.210
118;633.85;061.11;65.817
119;562.23;062.39;67.274
120;641.80;061.31;68.202
121;560.00;063.62;68.521
122;642.20;062.15;68.489
