Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-01-13;10:50:57
22.5;;22.8;;61.21;;12.34
23.0;;23.5;;60.80;;8.47
22.6;;23.0;;60.70;;7.99
22.6;;22.9;;61.19;;8.95

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;535.93;063.38;111.703
001;614.82;054.66;96.109
002;538.75;062.19;103.243
003;615.35;057.89;104.304
004;543.71;057.76;106.328
005;612.48;057.93;104.286
006;537.51;055.29;100.729
007;603.06;054.49;100.265
008;534.60;059.98;107.287
009;597.63;058.62;110.079
010;526.77;061.16;111.003
011;612.02;059.82;111.924
012;535.57;059.39;111.193
013;613.44;056.80;105.269
014;537.85;056.72;103.674
015;616.74;058.25;107.235
016;544.72;056.74;101.822
017;609.32;056.52;107.709
018;546.12;059.84;108.461
019;614.79;053.51;97.379
020;538.14;060.07;101.063
021;611.86;055.16;102.932
022;538.92;061.40;115.083
023;606.07;058.34;110.611
024;543.69;063.13;111.488
025;597.69;057.96;114.602
026;528.69;056.11;113.183
027;603.73;057.97;117.795
028;538.20;062.25;119.746
029;596.39;060.13;124.722
030;537.55;060.25;123.114
031;601.96;059.07;122.868
032;541.34;058.72;124.212
033;608.66;061.03;130.382
034;541.40;059.05;125.401
035;601.24;059.86;130.204
036;536.46;058.62;128.670
037;603.20;056.80;130.107
038;547.89;062.56;132.192
039;606.91;057.68;127.823
040;540.95;060.56;132.369
041;601.12;060.06;127.544
042;535.57;061.10;129.664
043;606.45;056.86;123.768
044;548.66;061.31;133.312
045;600.80;059.43;130.867
046;536.63;059.86;133.740
047;609.93;058.92;135.358
048;543.47;063.53;139.387
049;602.54;060.06;137.747
050;537.62;060.00;139.471
051;607.43;055.20;129.654
052;548.71;056.78;128.193
053;603.61;057.66;130.341
054;549.35;060.13;136.217
055;613.73;061.13;141.056
056;537.98;060.56;124.481
057;615.63;059.06;130.257
058;536.81;059.24;127.837
059;607.27;058.56;125.479
060;551.71;060.94;125.024
061;597.11;062.05;122.944
062;543.99;061.88;115.274
063;596.61;057.42;103.042
064;642.33;061.48;107.226
065;564.82;059.06;108.929
066;642.11;061.49;115.629
067;554.14;061.17;117.167
068;638.70;062.35;123.552
069;558.09;063.32;118.893
070;636.00;060.95;119.699
071;558.13;062.13;115.961
072;643.48;059.27;112.109
073;555.29;060.84;110.104
074;633.46;061.95;117.932
075;570.63;062.53;120.214
076;641.82;061.19;121.948
077;559.94;062.77;119.564
078;635.36;060.40;120.698
079;557.93;063.49;124.940
080;637.02;063.08;129.213
081;568.54;063.16;122.598
082;631.59;059.74;116.514
083;566.28;063.25;120.179
084;638.37;064.79;123.830
085;563.92;061.21;115.497
086;632.65;059.37;112.650
087;567.82;060.34;113.273
088;652.23;059.22;114.471
089;563.19;064.24;119.935
090;629.45;061.42;117.246
091;555.70;061.59;114.592
092;640.32;062.10;112.797
093;572.41;061.81;110.178
094;634.79;063.50;113.212
095;571.85;060.89;109.290
096;643.08;058.95;104.306
097;561.12;061.93;103.689
098;636.27;057.48;95.936
099;567.22;062.60;100.457
100;643.48;059.09;97.764
101;560.71;062.29;100.815
102;633.47;061.85;98.986
103;566.68;061.15;99.555
104;639.43;061.99;94.508
105;560.49;062.28;94.678
106;637.20;060.62;94.995
107;563.33;060.39;94.690
108;653.00;061.16;95.333
109;554.48;062.95;95.115
110;632.81;062.45;95.885
111;551.68;063.29;95.697
112;642.82;061.83;94.725
113;557.10;064.56;97.917
114;647.25;060.19;90.791
115;557.84;060.94;89.936
116;633.49;062.77;93.361
117;564.50;060.04;88.697
118;632.35;060.08;89.884
119;560.23;062.61;89.274
120;640.10;060.76;94.697
121;558.20;062.78;93.367
122;641.01;061.36;94.365
123;552.05;060.22;89.405
124;636.08;059.57;89.247
125;558.39;063.75;93.451
126;633.91;062.48;93.795
127;565.26;064.90;90.192
128;571.69;058.86;84.104
129;555.96;060.15;87.272
130;583.58;057.84;86.578
131;553.22;061.51;82.866
132;580.70;057.63;86.307
133;552.88;059.02;86.083
134;569.71;055.97;81.987
135;553.62;057.18;83.534
136;578.91;058.18;87.290
137;542.57;057.88;84.448
138;578.05;058.19;89.529
139;552.88;062.45;88.279
140;588.41;057.15;86.088
141;557.03;059.60;84.259
142;577.34;056.39;87.186
143;541.34;058.81;88.621
144;583.15;058.09;88.776
145;557.67;056.97;83.684
146;581.71;057.96;88.564
147;550.59;057.19;85.813
148;583.92;058.46;89.156
149;553.35;059.73;89.169
150;580.28;059.23;91.781
151;549.55;056.60;84.366
152;579.68;057.02;87.013
153;557.06;059.31;86.021
154;581.63;055.01;87.970
155;554.23;058.83;90.386
156;575.80;057.41;88.735
157;552.29;061.02;94.615
158;578.51;058.51;92.035
159;549.76;058.68;89.068
160;594.96;056.72;95.418
161;555.31;060.44;93.318
162;572.85;055.21;91.709
163;555.87;062.29;97.108
164;578.41;057.37;95.871
165;545.82;057.95;97.502
166;580.77;054.00;97.447
167;549.06;059.62;103.411
168;581.37;057.22;101.731
169;549.15;061.38;105.591
170;588.90;054.75;99.707
171;540.14;058.99;101.473
172;584.22;056.06;96.827
173;550.28;057.77;98.082
174;577.40;054.81;96.653
175;553.00;058.30;97.236
176;574.73;055.87;101.318
177;551.81;058.09;101.790
178;579.90;057.28;103.915
179;551.07;058.99;103.530
180;581.51;054.37;98.718
181;551.32;059.52;103.205
182;582.41;056.67;102.912
183;549.46;059.28;100.056
184;593.40;055.99;97.683
185;554.01;054.93;94.883
186;583.29;056.80;100.770
187;546.39;058.69;98.232
188;585.61;058.87;102.076
189;549.70;059.08;100.493
190;580.29;057.94;98.626
191;548.36;058.91;94.381
192;523.88;061.96;94.795
193;616.53;059.69;97.352
194;529.63;062.11;96.869
195;642.97;061.09;100.838
196;529.11;060.40;105.470
197;615.88;057.82;100.722
198;525.97;060.71;105.839
199;601.09;058.81;108.342
200;529.47;059.68;108.779
201;603.62;058.17;107.028
202;528.95;059.12;108.713
203;613.95;059.99;110.184
204;533.76;062.29;111.864
205;614.20;060.08;113.173
206;532.16;059.78;110.933
207;612.24;059.90;114.269
208;535.12;061.85;113.771
209;607.99;060.06;119.181
210;531.86;060.04;116.414
211;604.97;061.02;119.564
212;530.36;061.16;121.747
213;602.04;057.90;118.966
214;529.45;060.43;118.593
215;607.66;058.96;120.269
216;528.52;061.11;117.275
217;616.62;059.72;119.078
218;524.77;058.04;121.113
219;608.27;059.02;119.469
220;524.21;059.39;118.744
221;616.51;059.13;117.510
222;528.96;062.03;116.444
223;601.75;058.55;112.318
224;519.24;060.70;114.706
225;600.73;059.19;111.374
226;526.52;060.76;109.534
227;603.31;059.22;112.481
228;525.62;059.64;111.820
229;607.39;060.06;113.922
230;533.61;062.41;117.049
231;603.27;058.90;115.981
232;518.52;060.32;118.023
233;608.38;060.47;116.768
234;525.79;058.74;116.162
235;620.38;059.75;116.130
236;532.33;062.49;119.740
237;597.51;057.30;115.389
238;527.20;061.15;116.314
239;605.41;058.93;116.088
240;523.62;060.06;114.028
241;606.29;058.49;115.145
242;533.62;060.69;119.808
243;601.45;060.94;115.586
244;534.70;061.86;116.655
245;612.55;061.23;116.480
246;524.26;061.75;121.968
247;605.98;060.91;122.787
248;522.04;059.25;119.416
249;593.52;057.56;121.250
250;530.81;061.10;122.644
