Comment


Housekeeping
temperature low range;temperature high range;voltage;current
17-01-13;10:54:39
22.5;;22.8;;61.19;;12.95
23.1;;23.6;;60.78;;8.47
22.6;;23.0;;60.72;;8.23
22.6;;22.9;;61.19;;9.07

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;537.60;062.09;73.207
001;616.34;054.43;62.246
002;540.36;061.57;64.785
003;616.58;057.34;66.821
004;545.16;058.95;67.320
005;613.83;057.12;67.260
006;538.89;055.15;64.028
007;604.78;054.26;64.191
008;535.99;060.45;67.651
009;598.86;058.56;69.720
010;527.85;060.47;71.309
011;613.59;058.91;70.591
012;537.05;060.18;67.335
013;614.90;058.19;62.816
014;539.00;057.13;64.957
015;617.92;058.88;67.176
016;546.47;056.49;63.334
017;610.83;056.84;65.991
018;547.70;058.70;68.296
019;616.51;053.36;61.118
020;539.71;059.91;63.480
021;613.11;054.30;65.676
022;540.75;061.12;71.727
023;607.28;058.20;69.737
024;545.10;062.25;71.588
025;598.87;057.93;72.439
026;530.54;056.76;69.918
027;605.41;058.54;73.018
028;540.24;061.27;76.107
029;598.10;061.24;76.554
030;539.42;060.44;75.528
031;603.41;058.61;77.926
032;542.67;059.06;78.313
033;610.21;061.47;82.303
034;542.81;058.40;80.852
035;603.08;059.93;81.792
036;537.95;058.73;81.942
037;604.70;057.62;80.742
038;549.16;062.11;84.405
039;608.16;057.85;80.872
040;542.36;060.70;84.253
041;602.70;059.51;81.598
042;536.90;061.16;82.651
043;608.38;056.42;79.428
044;549.80;061.09;85.335
045;602.14;058.56;84.272
046;538.22;059.51;85.318
047;611.40;059.36;85.412
048;544.50;063.46;89.146
049;603.72;059.43;89.789
050;538.47;061.12;89.738
051;609.35;055.66;82.940
052;550.14;057.89;81.083
053;605.11;057.37;84.255
054;550.72;060.01;88.196
055;615.03;060.82;93.071
056;539.22;059.81;83.141
057;616.85;058.88;85.546
058;537.89;058.75;86.302
059;608.97;058.55;84.283
060;552.91;061.23;82.359
061;598.08;062.40;82.071
062;544.96;061.32;78.413
063;598.05;057.49;69.194
064;643.98;060.98;73.227
065;565.42;058.57;74.900
066;643.77;059.99;79.806
067;554.83;061.18;79.427
068;639.85;062.54;83.535
069;558.82;062.24;82.025
070;637.33;060.76;81.140
071;558.69;061.23;80.527
072;644.98;059.22;75.291
073;556.00;060.64;75.203
074;634.66;061.08;80.059
075;571.15;062.45;80.727
076;643.23;061.41;81.034
077;560.46;061.71;80.961
078;636.41;060.25;81.500
079;558.58;063.55;84.001
080;638.73;064.67;84.647
081;569.26;062.95;82.163
082;632.89;059.68;77.262
083;567.21;063.27;79.860
084;640.18;065.36;81.476
085;564.51;060.56;79.063
086;633.85;059.18;77.143
087;569.02;060.13;76.571
088;653.14;060.38;76.509
089;564.05;064.30;81.074
090;630.60;061.14;79.340
091;556.77;062.24;78.181
092;642.35;061.48;76.897
093;573.69;060.72;75.463
094;636.46;063.82;75.335
095;572.77;061.04;73.504
096;644.73;059.13;70.011
097;561.88;060.84;72.353
098;637.49;057.95;64.722
099;568.16;062.54;68.933
100;645.01;059.81;65.613
101;561.92;062.45;68.595
102;634.99;060.89;68.468
103;567.62;061.48;69.231
104;640.70;060.78;67.539
105;561.96;061.03;66.338
106;638.47;061.54;64.737
107;564.41;060.09;66.599
108;654.50;060.66;66.206
109;555.37;062.74;68.319
110;634.11;061.88;67.594
111;552.92;062.82;66.798
112;644.24;061.53;66.818
113;558.00;065.01;68.279
114;648.40;059.93;64.657
115;558.89;059.90;64.438
116;634.72;062.30;67.073
117;565.42;059.96;62.920
118;633.79;060.60;63.861
119;561.32;062.30;64.296
120;641.80;061.16;66.413
121;559.49;063.55;66.320
122;642.22;061.28;68.182
123;553.21;060.00;65.816
124;636.91;058.87;66.063
125;559.64;063.69;68.574
126;635.27;062.29;68.808
127;566.81;063.81;66.437
128;572.26;058.75;61.939
129;556.28;060.49;64.150
130;583.89;057.95;63.544
131;554.05;059.94;62.671
132;581.47;057.01;64.200
133;553.28;059.60;62.606
134;569.94;055.63;61.751
135;554.00;057.02;63.202
136;579.46;056.92;67.488
137;542.99;058.05;63.504
138;578.55;057.90;66.694
139;553.50;062.10;67.424
140;589.20;056.75;65.195
141;557.48;058.73;64.114
142;577.81;056.68;65.638
143;541.59;058.83;67.487
144;583.64;057.83;67.752
145;557.89;057.79;64.058
146;582.02;058.39;67.742
147;550.72;056.09;67.388
148;584.63;058.54;68.354
149;553.94;059.45;68.628
150;580.68;059.35;71.644
151;549.97;056.30;66.547
152;580.20;056.73;69.162
153;557.53;057.50;69.177
154;582.11;055.05;68.180
155;554.73;058.50;71.949
156;576.26;058.01;68.988
157;552.78;061.22;74.303
158;579.21;058.08;73.740
159;550.65;058.76;70.446
160;595.92;056.11;76.409
161;555.66;060.21;75.639
162;573.32;055.14;73.676
163;556.34;062.25;77.967
164;579.04;058.01;75.690
165;545.98;057.98;78.664
166;581.66;054.62;78.117
167;549.29;059.68;83.206
168;581.81;057.68;81.297
169;549.51;061.28;85.493
170;589.78;055.08;80.382
171;540.48;059.22;82.222
172;584.84;055.32;80.556
173;551.00;057.02;82.370
174;577.83;054.95;79.975
175;553.63;057.59;82.172
176;575.34;055.68;82.905
177;552.01;058.63;84.876
178;580.52;056.27;87.180
179;552.13;058.20;86.070
180;582.18;054.74;80.770
181;551.75;059.18;86.024
182;582.85;056.63;84.699
183;549.55;059.67;83.348
184;593.92;056.59;82.915
185;554.91;055.01;79.588
186;583.68;056.03;85.290
187;546.69;058.48;83.320
188;586.01;058.22;87.020
189;549.90;059.66;84.334
190;580.69;058.58;82.216
191;548.97;058.79;81.017
192;524.18;061.43;82.284
193;617.12;060.87;81.670
194;529.75;061.15;85.049
195;643.26;061.05;87.314
196;529.60;061.09;89.455
197;616.20;057.39;88.469
198;526.30;060.22;92.260
199;601.56;059.63;92.162
200;530.14;060.19;93.330
201;604.02;058.39;93.766
202;529.41;058.63;94.399
203;614.18;059.64;97.769
204;534.34;062.43;96.820
205;614.34;059.39;99.677
206;532.46;058.91;97.804
207;612.34;059.12;100.871
208;536.02;061.17;100.411
209;607.95;061.09;103.108
210;532.16;060.64;101.442
211;605.29;060.34;105.352
212;530.78;061.23;106.173
213;602.20;057.27;105.475
214;530.02;060.93;103.453
215;608.36;058.68;105.899
216;528.50;060.92;105.374
217;617.40;060.06;105.736
218;525.39;058.62;104.315
219;608.78;058.87;106.897
220;524.48;060.84;104.910
221;616.79;059.10;104.282
222;529.32;062.71;101.815
223;601.74;057.68;103.556
224;519.89;060.29;101.409
225;601.42;059.99;99.407
226;526.59;059.90;100.572
227;603.68;060.46;97.702
228;525.93;059.06;100.081
229;607.82;059.39;104.131
230;534.15;061.57;104.474
231;603.40;059.04;103.008
232;518.82;060.77;105.468
233;609.04;059.80;106.296
234;525.71;059.90;103.529
235;621.08;059.00;106.257
236;532.65;061.92;108.073
237;597.63;058.14;103.020
238;527.41;061.24;105.299
239;605.72;058.94;105.064
240;523.71;059.13;106.848
241;607.00;057.68;105.393
242;533.92;061.01;107.680
243;601.73;059.97;107.443
244;534.65;062.01;106.806
245;613.18;061.26;107.305
246;524.62;062.33;109.452
247;606.65;060.61;112.465
248;522.70;060.01;106.992
249;594.46;057.87;109.975
250;531.08;060.82;114.539
251;608.40;058.05;112.094
252;537.69;061.04;115.036
253;614.65;060.92;113.533
254;524.17;061.93;119.534
255;598.30;061.12;117.952
256;569.43;060.72;139.718
257;628.81;061.89;147.227
258;575.54;060.30;144.349
259;621.21;062.31;146.201
260;571.60;061.37;146.079
261;617.42;061.18;142.795
262;570.64;061.41;150.708
263;623.00;061.26;145.057
264;567.88;059.10;142.175
265;619.94;061.55;144.041
266;563.33;063.06;148.566
267;627.24;062.02;144.376
268;565.91;062.14;147.604
269;622.69;063.29;150.734
270;568.97;062.14;146.800
271;624.06;059.92;145.759
272;568.33;056.68;142.173
273;624.44;061.17;147.662
274;564.61;059.66;150.237
275;631.58;061.61;147.767
276;569.17;060.37;146.627
277;631.62;062.89;148.058
278;562.23;060.10;146.741
279;622.56;061.11;149.233
280;572.45;062.70;150.330
281;628.02;061.25;148.886
282;571.80;060.47;147.117
283;629.89;060.56;150.703
284;562.92;061.83;150.814
285;626.00;063.61;154.149
286;562.64;061.39;155.989
287;616.41;063.03;153.670
288;565.27;063.58;159.963
289;619.59;062.02;165.982
290;565.64;062.89;165.194
291;626.82;062.43;166.333
292;568.71;062.81;166.455
293;632.74;062.52;170.631
294;576.44;060.82;164.285
295;630.66;063.98;172.628
296;569.27;063.45;175.039
297;625.89;063.28;175.121
298;573.72;061.18;175.725
299;630.14;063.00;175.100
300;564.81;061.46;172.054
301;628.31;062.91;177.453
302;563.12;061.04;175.538
303;617.04;062.55;179.737
304;572.30;062.50;174.131
305;624.22;061.24;172.637
306;566.01;062.63;175.519
307;633.07;061.58;164.689
308;566.22;061.08;165.768
309;627.01;061.59;161.336
310;569.80;061.30;165.527
311;624.60;063.00;165.118
312;574.92;057.81;154.474
313;620.38;060.06;163.709
314;572.76;060.15;164.681
315;624.65;062.54;164.293
316;565.08;061.59;169.655
317;617.10;062.43;167.192
318;561.20;061.19;164.055
319;632.37;060.52;158.855
320;596.27;060.57;159.057
321;577.21;060.66;156.144
322;597.78;062.27;162.438
323;572.37;062.43;159.629
324;598.21;062.20;160.424
325;569.35;062.78;157.589
326;600.70;060.75;166.407
327;570.61;061.39;162.937
328;606.10;060.46;166.486
329;571.65;060.00;165.852
330;602.42;060.89;175.002
331;567.73;062.10;180.480
332;598.02;059.87;182.993
333;570.24;062.73;184.114
334;606.10;060.84;189.952
335;566.06;063.43;192.578
336;600.85;060.73;195.329
337;565.77;062.48;196.409
338;601.27;060.97;195.143
339;568.07;062.79;195.455
340;599.72;062.40;198.538
341;570.54;062.23;192.212
342;603.58;060.59;192.692
343;571.60;062.30;199.280
344;596.86;063.72;200.087
345;576.28;061.84;194.344
346;590.79;062.23;196.700
347;572.41;062.73;190.982
348;600.30;061.05;189.121
349;570.08;062.11;187.673
350;603.32;061.10;185.326
351;569.26;063.27;184.041
352;609.54;061.88;187.327
353;574.68;061.17;187.809
354;601.88;059.15;191.951
355;565.95;062.27;194.759
356;605.48;063.42;198.838
357;563.11;063.97;201.678
358;599.02;061.42;201.534
359;570.13;062.37;200.674
360;598.09;060.96;208.593
361;573.60;060.61;202.848
362;602.22;061.99;210.942
363;562.40;062.30;217.821
364;602.12;064.13;221.888
365;572.85;060.78;214.198
366;604.37;062.69;222.780
367;568.89;061.26;213.311
368;605.03;062.02;217.637
369;575.90;062.27;221.690
370;611.33;061.62;222.994
371;567.26;062.48;228.629
372;609.40;060.84;227.797
373;565.57;061.29;227.996
374;606.60;060.22;227.213
375;564.43;063.76;234.323
