Comment


Housekeeping
temperature low range;temperature high range;voltage;current
16-11-22;10:43:43
22.6;;22.8;;61.17;;12.10
23.1;;23.6;;60.78;;7.99
22.6;;23.0;;60.72;;7.74
22.6;;22.9;;61.17;;8.95

Diode settings
address;bias current (hex);modulation current (dec);modulation current (hex);enabled/distabled

channel;pedestal / ADC counts;gain / ADC counts;mean number of pixels
000;534.69;062.57;135.508
001;614.10;054.83;132.602
002;537.53;061.15;144.810
003;615.01;057.48;144.161
004;542.49;058.52;143.776
005;611.73;058.05;144.494
006;536.14;055.74;143.529
007;602.26;055.01;141.034
008;533.21;060.06;147.643
009;596.65;057.95;152.527
010;525.55;060.52;154.360
011;611.15;059.65;155.581
012;534.24;060.38;153.475
013;612.42;057.22;148.136
014;536.22;057.64;146.733
015;615.88;058.59;150.837
016;543.51;056.91;144.444
017;608.39;057.13;145.372
018;544.67;059.77;148.607
019;613.99;053.95;140.247
020;536.79;060.12;150.449
021;610.68;055.34;141.452
022;537.68;061.88;152.872
023;605.20;058.17;150.867
024;542.05;062.14;157.090
025;596.56;058.98;151.464
026;527.61;057.10;146.431
027;603.03;058.04;156.736
028;536.93;061.12;163.125
029;595.48;061.06;160.651
030;536.29;060.14;155.367
031;600.86;058.66;154.621
032;539.77;057.96;156.747
033;607.74;060.80;165.449
034;540.07;059.36;156.844
035;600.18;059.92;158.020
036;535.27;059.54;153.909
037;601.71;057.06;155.866
038;546.20;063.06;156.707
039;605.39;057.63;154.767
040;539.07;060.39;157.454
041;599.97;059.28;154.608
042;533.94;061.17;157.901
043;605.09;056.09;152.881
044;547.05;061.96;159.080
045;599.76;059.32;155.413
046;535.49;059.58;153.507
047;608.71;059.13;156.920
048;541.61;063.73;162.313
049;601.02;059.72;159.651
050;535.83;060.23;159.901
051;606.06;054.96;150.749
052;547.82;056.83;145.587
053;602.69;057.09;155.986
054;547.81;060.10;162.251
055;612.59;060.66;170.505
056;536.97;060.54;161.123
057;614.43;059.12;158.479
058;536.00;059.10;157.037
059;606.51;057.79;156.361
060;550.67;060.88;156.908
061;596.39;062.65;154.003
062;542.81;061.84;152.619
063;595.82;056.84;144.514
064;640.72;061.69;145.113
065;563.87;058.93;141.112
066;640.26;061.26;146.276
067;553.93;061.10;152.196
068;637.12;063.27;157.677
069;557.34;062.32;149.695
070;634.18;060.66;149.361
071;557.20;062.42;148.792
072;641.56;059.64;147.534
073;554.38;060.05;147.872
074;631.79;062.32;153.518
075;569.53;062.28;158.458
076;639.72;061.24;155.712
077;558.61;062.09;155.603
078;633.32;060.92;151.022
079;556.84;063.48;155.385
080;634.97;063.57;158.202
081;567.41;063.81;154.627
082;629.28;059.94;151.343
083;565.51;063.06;156.610
084;636.84;064.80;159.475
085;562.70;060.78;152.159
086;630.85;059.02;147.824
087;566.93;060.17;147.293
088;650.43;060.07;147.336
089;561.92;063.49;154.975
090;627.32;061.44;148.565
091;554.89;062.18;147.767
092;638.59;061.93;152.320
093;571.42;061.71;151.525
094;633.47;064.00;157.972
095;570.37;061.09;152.808
096;641.67;058.92;147.883
097;559.77;062.26;146.636
098;634.18;057.25;137.479
099;566.34;062.05;142.624
100;642.03;059.05;140.008
101;559.34;062.73;143.008
102;631.43;063.00;141.125
103;565.66;061.76;141.288
104;637.84;062.38;140.639
105;559.53;062.53;139.201
106;635.48;061.21;139.308
107;562.45;061.33;135.314
108;651.51;060.87;138.208
109;553.24;063.27;139.038
110;630.98;062.52;137.116
111;550.64;062.83;136.512
112;641.62;062.24;134.643
113;556.00;064.20;143.946
114;645.20;060.54;135.056
